category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievancesWithGoodRating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airline,Aeroflot,"Ticketing, Fares & Refunds",31,NA,NA,31,31,NA,NA,27,4,3,1,NA,NA,NA,NA,NA,NA,31,27,4,3,1
Airline,Emirates Airline,Baggage,39,NA,NA,34,34,NA,NA,36,3,2,1,NA,NA,NA,NA,NA,NA,39,35,4,3,1
Airline,Kuwait Airways,Flight Delays,18,NA,NA,11,11,NA,NA,13,5,3,1,1,NA,NA,NA,NA,NA,18,13,5,4,1
Airline,Qatar Airways,"Ticketing, Fares &amp; Refunds",32,NA,NA,11,11,NA,NA,29,3,2,NA,NA,1,NA,NA,NA,2,32,29,3,2,1
Airline,Air Canada,Baggage,28,NA,NA,27,27,NA,NA,25,3,2,NA,NA,NA,1,NA,NA,3,28,25,3,2,1
Airline,Air Costa,Other,6,NA,NA,6,6,NA,NA,4,2,2,NA,NA,NA,NA,NA,NA,NA,6,4,2,1,1
Airline,Air Costa,"Ticketing, Fares & Refunds",131,NA,NA,131,131,NA,NA,73,58,50,2,1,4,1,NA,NA,3,131,68,63,61,2
Airline,Air Asia Berhad (Intl Tickets),Check-in &amp; Boarding,15,NA,NA,10,10,NA,NA,14,1,NA,NA,NA,NA,1,NA,NA,NA,15,14,1,NA,1
Airline,Air Asia Berhad (Intl Tickets),"Ticketing, Fares & Refunds",81,NA,NA,74,74,NA,NA,61,20,14,2,2,2,NA,NA,NA,1,81,61,20,19,1
Airline,Air Asia Berhad (Intl Tickets),"Ticketing, Fares &amp; Refunds",97,NA,NA,94,94,NA,NA,90,7,7,NA,NA,NA,NA,NA,NA,1,97,87,10,8,2
Airline,Ethiopian Airlines,"Ticketing, Fares &amp; Refunds",21,NA,NA,12,12,NA,NA,19,2,NA,1,NA,1,NA,NA,NA,1,21,19,2,1,1
Airline,GoAir,Baggage,336,NA,NA,335,335,NA,NA,295,41,33,5,1,2,NA,4,NA,4,336,291,45,40,5
Airline,GoAir,Check-in & Boarding,405,NA,NA,400,400,NA,NA,342,63,51,3,6,1,2,2,NA,10,405,334,71,68,3
Airline,GoAir,Check-in &amp; Boarding,145,NA,NA,135,135,NA,NA,136,9,8,1,NA,NA,NA,NA,NA,NA,145,134,11,9,2
Airline,GoAir,Flight Delays,1247,NA,NA,1106,1106,NA,NA,1135,112,103,3,4,NA,2,15,NA,38,1247,1110,137,134,3
Airline,GoAir,Other,919,NA,NA,917,917,NA,NA,839,80,67,9,NA,1,3,14,NA,17,919,832,87,79,8
Airline,GoAir,Staff / Crew Behavior,178,NA,NA,177,177,2,NA,162,16,16,NA,NA,NA,NA,6,NA,7,178,161,17,14,3
Airline,GoAir,"Ticketing, Fares & Refunds",5313,4,NA,5303,5303,NA,NA,4685,624,510,47,21,10,36,85,2,115,5313,4661,652,601,51
Airline,GoAir,"Ticketing, Fares &amp; Refunds",1327,NA,1,1325,1325,NA,NA,1221,105,88,8,1,1,7,NA,NA,NA,1327,1218,109,101,8
Airline,Gulf Air,"Ticketing, Fares & Refunds",37,NA,NA,36,36,NA,NA,28,9,6,1,1,1,NA,NA,NA,3,37,28,9,8,1
Airline,British Airways,"Ticketing, Fares & Refunds",76,1,NA,74,74,NA,NA,70,5,3,NA,1,NA,1,1,NA,1,76,71,5,4,1
Airline,Air India,Baggage,1267,NA,NA,1266,1266,NA,NA,1121,146,115,12,9,4,6,10,NA,53,1267,1091,176,160,16
